Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Color (product.metafields.shopify.color-pattern),Frame style (product.metafields.shopify.frame-style),Theme (product.metafields.shopify.theme),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
harmony-art-print,,,,,,,,,A3 (297 × 420 mm),,,,,,,,"",0.0,,0,deny,manual,35.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0787/0477/1421/files/kolekcija2.jpg?v=1760685004,3,"",,,,,,,,kg,,,
harmony-art-print,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/0477/1421/files/Harmony_2.jpg?v=1760685004,4,"",,,,,,,,,,,
optimism-art-print,"""Optimism"" Art Print","<p>Bathed in vibrant greens, this hue symbolizes fresh starts and endless possibility, like the first shoots of spring pushing through thawed earth. Green whispers of renewal, encouraging us to embrace challenges as opportunities for growth and to trust that brighter chapters lie just ahead.</p>
<p>Printed on high-quality paper and delivered unframed.</p>
<p>Available in A5, A4 and A3 dimensions.</p>
<p>Unframed.</p>",IrenArtStudio,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork > Prints","","",true,Size,A5 (148 x 210 mm),,,,,,,,,0.0,,0,deny,manual,18.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0787/0477/1421/files/Optimism_print_2.jpg?v=1760684851,1,"",false,,,multicolor; green,unframed,art,,kg,,,active
optimism-art-print,,,,,,,,,A4 (210 x 297 mm),,,,,,,,"",0.0,,0,deny,manual,25.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0787/0477/1421/files/optimism_a3_a4.jpg?v=1760684851,2,"",,,,,,,,kg,,,
optimism-art-print,,,,,,,,,A3 (297 × 420 mm),,,,,,,,"",0.0,,0,deny,manual,35.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0787/0477/1421/files/print4-okvir.jpg?v=1760684851,3,"",,,,,,,,kg,,,
optimism-art-print,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/0477/1421/files/print4.png?v=1760684851,4,"",,,,,,,,,,,
optimism-art-print,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/0477/1421/files/Optimism_print.jpg?v=1760684761,5,"",,,,,,,,,,,
energy-art-print,"""Energy"" Art Print","<p>“Energy” crackles with passion and momentum, igniting bold ideas and inspiring action. This dynamic pulse shifts and flows, urging us to break through limits and live life in full, vibrant color. It infuses every brushstroke with intense vitality, inviting you to feel the heartbeat of creativity itself.</p>
<p>Printed on high-quality paper and delivered unframed.</p>
<p>Available in A5, A4 and A3 dimensions.</p>
<p>Unframed.</p>",IrenArtStudio,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork > Prints","","",true,Size,A5 (148 x 210 mm),,,,,,,,,0.0,,0,deny,manual,18.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0787/0477/1421/files/Energy2_653def7a-44aa-4083-8c78-ddc258f9a477.jpg?v=1747733720,1,"",false,,,multicolor,unframed,art,,kg,,,active
energy-art-print,,,,,,,,,A4 (210 x 297 mm),,,,,,,,"",0.0,,0,deny,manual,25.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0787/0477/1421/files/Energy3_80c6382f-93fe-4553-85bd-5e622ec2c0e0.jpg?v=1760685136,2,"",,,,,,,,kg,,,
energy-art-print,,,,,,,,,A3 (297 × 420 mm),,,,,,,,"",0.0,,0,deny,manual,35.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0787/0477/1421/files/Energy_print.jpg?v=1760685136,3,"",,,,,,,,kg,,,
energy-art-print,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/0477/1421/files/Energy_print_2.jpg?v=1760685136,4,"",,,,,,,,,,,
energy-art-print,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/0477/1421/files/print2-okvir.jpg?v=1760685136,5,"",,,,,,,,,,,
energy-art-print,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/0477/1421/files/print2.png?v=1760685136,6,"",,,,,,,,,,,
the-boat,"""The Boat""","<p><em>The Boat</em> is a dynamic abstract painting that captures the chaos and harmony of movement through vivid color contrasts, energetic linework, and layered texture. Bursts of yellow, white, and black dance across a sea of blue and crimson, evoking both storm and structure in a mesmerizing visual rhythm. This large contemporary artwork blends elements of modern abstract art and urban energy, making it a bold centerpiece for any sophisticated interior.</p>
<p class=""MsoNormal"" style=""margin-bottom: 12.0pt; line-height: normal; mso-layout-grid-align: none; text-autospace: none;""><b><span lang=""EN-US"" style=""font-family: 'Times-Bold',serif; mso-bidi-font-family: Times-Bold; mso-font-kerning: 0pt; mso-ansi-language: EN-US;"">Size:</span></b><span lang=""EN-US"" style=""font-family: 'Times-Roman',serif; mso-bidi-font-family: Times-Roman; mso-font-kerning: 0pt; mso-ansi-language: EN-US;""> 150 x 100 cm</span></p>
<p class=""MsoNormal"" style=""margin-bottom: 12.0pt; line-height: normal; mso-layout-grid-align: none; text-autospace: none;""><b><span lang=""EN-US"" style=""font-family: 'Times-Bold',serif; mso-bidi-font-family: Times-Bold; mso-font-kerning: 0pt; mso-ansi-language: EN-US;"">Medium:</span></b><span lang=""EN-US"" style=""font-family: 'Times-Roman',serif; mso-bidi-font-family: Times-Roman; mso-font-kerning: 0pt; mso-ansi-language: EN-US;""> Acrylic on canvas</span></p>
<p class=""MsoNormal"" style=""margin-bottom: 12.0pt; line-height: normal; mso-layout-grid-align: none; text-autospace: none;""><b><span lang=""EN-US"" style=""font-family: 'Times-Bold',serif; mso-bidi-font-family: Times-Bold; mso-font-kerning: 0pt; mso-ansi-language: EN-US;"">Finish:</span></b><span lang=""EN-US"" style=""font-family: 'Times-Roman',serif; mso-bidi-font-family: Times-Roman; mso-font-kerning: 0pt; mso-ansi-language: EN-US;""> Ready to hang</span></p>",IrenArtStudio,Home & Garden > Decor > Artwork,"","",true,Title,Default Title,,,,,,,,"",3000.0,shopify,1,deny,manual,550.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0787/0477/1421/files/theboat4.jpg?v=1747040569,1,"",false,,,red; blue; black; multicolor,modern; acrylic; canvas,beach,,kg,,,active
the-boat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/0477/1421/files/the_boat1.jpg?v=1747040638,2,"",,,,,,,,,,,
the-boat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/0477/1421/files/theboat2.jpg?v=1747040570,3,"",,,,,,,,,,,
the-boat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/0477/1421/files/theboat3.jpg?v=1747040569,4,"",,,,,,,,,,,
the-boat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/0477/1421/files/Theboat.jpg?v=1747040569,5,"",,,,,,,,,,,
whisper,"""Whisper""","<p class=""MsoNormal"" style=""margin-bottom: 12.0pt; line-height: normal; mso-layout-grid-align: none; text-autospace: none;""><i><span lang=""EN-US"" style=""font-family: 'Times-Italic',serif; mso-bidi-font-family: Times-Italic; mso-font-kerning: 0pt; mso-ansi-language: EN-US;"">Whisper</span></i><span lang=""EN-US"" style=""font-family: 'Times-Roman',serif; mso-bidi-font-family: Times-Roman; mso-font-kerning: 0pt; mso-ansi-language: EN-US;""> draws you into a layered, dreamlike landscape where soft teal, muted rust, faded crimson, and shadowy neutrals blend and dissolve into one another. The textures feel weathered and timeworn, like remnants of memory surfacing through quiet abstraction. Gentle yet emotionally rich, this 90 x 90 cm piece invites introspection and calm — ideal for collectors who appreciate subtle complexity and poetic stillness in contemporary art.</span></p>
<p class=""MsoNormal"" style=""margin-bottom: 12.0pt; line-height: normal; mso-layout-grid-align: none; text-autospace: none;""><b><span lang=""EN-US"" style=""font-family: 'Times-Bold',serif; mso-bidi-font-family: Times-Bold; mso-font-kerning: 0pt; mso-ansi-language: EN-US;"">Medium:</span></b><span lang=""EN-US"" style=""font-family: 'Times-Roman',serif; mso-bidi-font-family: Times-Roman; mso-font-kerning: 0pt; mso-ansi-language: EN-US;""> Acrylic on canvas</span></p>
<p class=""MsoNormal"" style=""margin-bottom: 12.0pt; line-height: normal; mso-layout-grid-align: none; text-autospace: none;""><b><span lang=""EN-US"" style=""font-family: 'Times-Bold',serif; mso-bidi-font-family: Times-Bold; mso-font-kerning: 0pt; mso-ansi-language: EN-US;"">Size:</span></b><span lang=""EN-US"" style=""font-family: 'Times-Roman',serif; mso-bidi-font-family: Times-Roman; mso-font-kerning: 0pt; mso-ansi-language: EN-US;""> 90 x 90 cm</span></p>
<p class=""MsoNormal"" style=""margin-bottom: 12.0pt; line-height: normal; mso-layout-grid-align: none; text-autospace: none;""><b><span lang=""EN-US"" style=""font-family: 'Times-Bold',serif; mso-bidi-font-family: Times-Bold; mso-font-kerning: 0pt; mso-ansi-language: EN-US;"">Finish:</span></b><span lang=""EN-US"" style=""font-family: 'Times-Roman',serif; mso-bidi-font-family: Times-Roman; mso-font-kerning: 0pt; mso-ansi-language: EN-US;""> Ready to hang</span></p>",IrenArtStudio,Home & Garden > Decor > Artwork,"","",true,Title,Default Title,,,,,,,,"",3000.0,shopify,1,deny,manual,530.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0787/0477/1421/files/whisper3.jpg?v=1746693561,1,"",false,,,green; red,modern,art,,kg,,,active
whisper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/0477/1421/files/whisper1_1cbbc4b5-28d1-4414-a6c0-2df915cefdb1.jpg?v=1746693561,2,"",,,,,,,,,,,
whisper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/0477/1421/files/Whisper.jpg?v=1746693561,3,"",,,,,,,,,,,
whisper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/0477/1421/files/whisper4.jpg?v=1746693558,4,"",,,,,,,,,,,
whisper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/0477/1421/files/Whisper2.png?v=1746692989,5,"",,,,,,,,,,,
pulse,"""Pulse""","<p class=""MsoNormal"" style=""margin-bottom: 12.0pt; line-height: normal; mso-layout-grid-align: none; text-autospace: none;""><i><span lang=""EN-US"" style=""font-family: 'Times-Italic',serif; mso-bidi-font-family: Times-Italic; mso-font-kerning: 0pt; mso-ansi-language: EN-US;"">Pulse</span></i><span lang=""EN-US"" style=""font-family: 'Times-Roman',serif; mso-bidi-font-family: Times-Roman; mso-font-kerning: 0pt; mso-ansi-language: EN-US;""> captures the raw rhythm of emotion through bold, gestural strokes and a striking interplay of black, teal, violet, and soft white. This 90 x 90 cm abstract composition feels alive — layered with energy, movement, and mystery. A powerful addition to any contemporary space, </span><i><span lang=""EN-US"" style=""font-family: 'Times-Italic',serif; mso-bidi-font-family: Times-Italic; mso-font-kerning: 0pt; mso-ansi-language: EN-US;"">Pulse</span></i><span lang=""EN-US"" style=""font-family: 'Times-Roman',serif; mso-bidi-font-family: Times-Roman; mso-font-kerning: 0pt; mso-ansi-language: EN-US;""> invites the viewer to feel rather than define, making it an ideal choice for collectors who value expression over explanation.</span></p>
<p class=""MsoNormal"" style=""margin-bottom: 12.0pt; line-height: normal; mso-layout-grid-align: none; text-autospace: none;""><b><span lang=""EN-US"" style=""font-family: 'Times-Bold',serif; mso-bidi-font-family: Times-Bold; mso-font-kerning: 0pt; mso-ansi-language: EN-US;"">Size:</span></b><span lang=""EN-US"" style=""font-family: 'Times-Roman',serif; mso-bidi-font-family: Times-Roman; mso-font-kerning: 0pt; mso-ansi-language: EN-US;""> 90 x 90 cm</span></p>
<p class=""MsoNormal"" style=""margin-bottom: 12.0pt; line-height: normal; mso-layout-grid-align: none; text-autospace: none;""><b><span lang=""EN-US"" style=""font-family: 'Times-Bold',serif; mso-bidi-font-family: Times-Bold; mso-font-kerning: 0pt; mso-ansi-language: EN-US;"">Medium:</span></b><span lang=""EN-US"" style=""font-family: 'Times-Roman',serif; mso-bidi-font-family: Times-Roman; mso-font-kerning: 0pt; mso-ansi-language: EN-US;""> Acrylic on canvas</span></p>
<p class=""MsoNormal"" style=""margin-bottom: 12.0pt; line-height: normal; mso-layout-grid-align: none; text-autospace: none;""><b><span lang=""EN-US"" style=""font-family: 'Times-Bold',serif; mso-bidi-font-family: Times-Bold; mso-font-kerning: 0pt; mso-ansi-language: EN-US;"">Finish:</span></b><span lang=""EN-US"" style=""font-family: 'Times-Roman',serif; mso-bidi-font-family: Times-Roman; mso-font-kerning: 0pt; mso-ansi-language: EN-US;""> Ready to hang</span></p>",IrenArtStudio,Home & Garden > Decor > Artwork,"","",true,Title,Default Title,,,,,,,,"",3000.0,shopify,1,deny,manual,520.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0787/0477/1421/files/pulse3.jpg?v=1746692255,1,"",false,,,black,modern,art,,kg,,,active
pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/0477/1421/files/pulse1.jpg?v=1746692255,2,"",,,,,,,,,,,
pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/0477/1421/files/Pulse.jpg?v=1746692254,3,"",,,,,,,,,,,
pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/0477/1421/files/Pulse2.png?v=1746692255,4,"",,,,,,,,,,,
pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/0477/1421/files/pulse4.jpg?v=1746692255,5,"",,,,,,,,,,,
serenity-a3-print,"""Serenity"" Art Print","<p><em>Serenity</em> unfolds as a hushed embrace of peace, where thoughts settle and the soul unfurls in gentle repose. Like a soft breeze that dissolves turmoil, it clears the mind’s horizon, inviting calm clarity and poised balance. It lingers like a gentle whisper in stillness, reminding us that true strength and renewal are born in the quietest moments.</p>
<p>Printed on high-quality paper and delivered unframed, these prints offer a pure, tactile invitation to bring tranquillity into any space. </p>
<p>Available in A5, A4 and A3 dimensions.</p>
<p>Unframed.</p>",IrenArtStudio,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork > Prints","","",true,Size,A5 (148 x 210 mm),,,,,,,,,0.0,,0,deny,manual,18.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0787/0477/1421/files/Serenity_print.jpg?v=1760685293,1,"",false,,,,unframed; modern,art,,kg,,,active
serenity-a3-print,,,,,,,,,A4 (210 x 297 mm),,,,,,,,"",0.0,,0,deny,manual,25.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0787/0477/1421/files/kolekcija5.jpg?v=1760685293,2,"",,,,,,,,kg,,,
serenity-a3-print,,,,,,,,,A3 (297 × 420 mm),,,,,,,,"",0.0,,0,deny,manual,35.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0787/0477/1421/files/serenitya4_a3.jpg?v=1760685293,3,"",,,,,,,,kg,,,
serenity-a3-print,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/0477/1421/files/print1-okvir.jpg?v=1760685293,4,"",,,,,,,,,,,
serenity-a3-print,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/0477/1421/files/print1.png?v=1760685293,5,"",,,,,,,,,,,
rustica,"""Rustica""","<p class=""MsoNormal"" style=""margin-bottom: 12.0pt; line-height: normal; mso-layout-grid-align: none; text-autospace: none;""><i><span lang=""EN-US"" style=""font-family: 'Times-Italic',serif; mso-bidi-font-family: Times-Italic; mso-font-kerning: 0pt; mso-ansi-language: EN-US;"">Rustica</span></i><span lang=""EN-US"" style=""font-family: 'Times-Roman',serif; mso-bidi-font-family: Times-Roman; mso-font-kerning: 0pt; mso-ansi-language: EN-US;""> is a tribute to timeworn beauty, where earthy tones of ochre, crimson, and aged white merge with deep textures to evoke the patina of history. The layered brushwork and distressed details create a tactile richness, reminiscent of weathered walls or antique surfaces kissed by sunlight and shadow. Perfect for collectors who appreciate the quiet elegance of rustic textures and natural palettes, </span><i><span lang=""EN-US"" style=""font-family: 'Times-Italic',serif; mso-bidi-font-family: Times-Italic; mso-font-kerning: 0pt; mso-ansi-language: EN-US;"">Rustica</span></i><span lang=""EN-US"" style=""font-family: 'Times-Roman',serif; mso-bidi-font-family: Times-Roman; mso-font-kerning: 0pt; mso-ansi-language: EN-US;""> brings warmth, depth, and an artisanal charm to any space.</span></p>
<p class=""MsoNormal"" style=""margin-bottom: 12.0pt; line-height: normal; mso-layout-grid-align: none; text-autospace: none;""><b><span lang=""EN-US"" style=""font-family: 'Times-Bold',serif; mso-bidi-font-family: Times-Bold; mso-font-kerning: 0pt; mso-ansi-language: EN-US;"">Size:</span></b><span lang=""EN-US"" style=""font-family: 'Times-Roman',serif; mso-bidi-font-family: Times-Roman; mso-font-kerning: 0pt; mso-ansi-language: EN-US;""> 100 x 80 cm</span></p>
<p class=""MsoNormal"" style=""margin-bottom: 12.0pt; line-height: normal; mso-layout-grid-align: none; text-autospace: none;""><b><span lang=""EN-US"" style=""font-family: 'Times-Bold',serif; mso-bidi-font-family: Times-Bold; mso-font-kerning: 0pt; mso-ansi-language: EN-US;"">Medium:</span></b><span lang=""EN-US"" style=""font-family: 'Times-Roman',serif; mso-bidi-font-family: Times-Roman; mso-font-kerning: 0pt; mso-ansi-language: EN-US;""> Acrylic on canvas</span></p>
<p class=""MsoNormal"" style=""margin-bottom: 12.0pt; line-height: normal; mso-layout-grid-align: none; text-autospace: none;""><b><span lang=""EN-US"" style=""font-family: 'Times-Bold',serif; mso-bidi-font-family: Times-Bold; mso-font-kerning: 0pt; mso-ansi-language: EN-US;"">Finish:</span></b><span lang=""EN-US"" style=""font-family: 'Times-Roman',serif; mso-bidi-font-family: Times-Roman; mso-font-kerning: 0pt; mso-ansi-language: EN-US;""> Ready to hang</span></p>",IrenArtStudio,Home & Garden > Decor > Artwork,"","",true,Title,Default Title,,,,,,,,"",3000.0,shopify,1,deny,manual,470.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0787/0477/1421/files/rustica3.jpg?v=1746614722,1,"",false,,,multicolor,acrylic,art,,kg,,,active
rustica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/0477/1421/files/rustica1.jpg?v=1746614722,2,"",,,,,,,,,,,
rustica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/0477/1421/files/rustica4.jpg?v=1746530099,3,"",,,,,,,,,,,
rustica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/0477/1421/files/rustica2.jpg?v=1746530099,4,"",,,,,,,,,,,
rustica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/0477/1421/files/Rustica.jpg?v=1745929485,5,"",,,,,,,,,,,
